ID,Text
NDS_001-f-z.eaf,Пото
NDS_001-f-z.eaf,А потом про зайчика сон.
NDS_001-f-z.eaf,А зайчик вот
NDS_001-f-z.eaf,он был в лесу.
NDS_001-f-z.eaf,А я была у речки.
NDS_001-f-z.eaf,А потом ког вот я пошла
NDS_001-f-z.eaf,к домой
NDS_001-f-z.eaf,а зайчик за мной
NDS_001-f-z.eaf,бежал-бежал.
NDS_001-f-z.eaf,А потом он прибежал
NDS_001-f-z.eaf,ко мне опять
NDS_001-f-z.eaf,когда я ушла уже
NDS_001-f-z.eaf,я вышла
NDS_001-f-z.eaf,к себе
NDS_001-f-z.eaf,во двор.
NDS_001-f-z.eaf,И онь
NDS_001-f-z.eaf,А зайчик как-то сюда прискакал
NDS_001-f-z.eaf,а потом он не знал
NDS_001-f-z.eaf,где я.
NDS_001-f-z.eaf,А я была у себя дома.
NDS_001-f-z.eaf,А потом этот зайчик прискакал ко мне домой.
NDS_001-f-z.eaf,Он скакал-скакал
NDS_001-f-z.eaf,и прискакал.
NDS_001-f-z.eaf,А потом он ск этот зайчик встретил ёжика.
NDS_001-f-z.eaf,У меня!
NDS_001-f-z.eaf,Который был у меня дома
NDS_001-f-z.eaf,и они были
NDS_001-f-z.eaf,этот зайчик
NDS_001-f-z.eaf,и ёжик
NDS_001-f-z.eaf,у меня
NDS_001-f-z.eaf,и они прям бегали тут прям по моему полу.
NDS_001-f-z.eaf,И по коврику
NDS_001-f-z.eaf,а я им сделала пала к по постельку
NDS_001-f-z.eaf,и они спали там.
NDS_001-f-z.eaf,На коврике.
NDS_001-f-z.eaf,А потом как-то неожиданно зайчик захотел морковку кушать.
NDS_001-f-z.eaf,А морковка стояла у меня там лежала в тарелочке.
NDS_001-f-z.eaf,Он взял эту морковку и скушал.
NDS_001-f-z.eaf,С капусткой.
NDS_001-f-z.eaf,С капустой тоже
NDS_001-f-z.eaf,капустку съел
NDS_001-f-z.eaf,а я потом встала
NDS_001-f-z.eaf,и увидела:
NDS_001-f-z.eaf,а где морковь?
NDS_001-f-z.eaf,а где капуста?
NDS_001-f-z.eaf,Всё.
NDS_002-f-z.eaf,Сон называется “Про собачку”.
NDS_002-f-z.eaf,Собачка пошла вот гулять.
NDS_002-f-z.eaf,А я вот дома спала.
NDS_002-f-z.eaf,Я гуляла-гуляла
NDS_002-f-z.eaf,а собачки собачка у нас была с ошейником
NDS_002-f-z.eaf,а потом
NDS_002-f-z.eaf,Он с ошейник был старый
NDS_002-f-z.eaf,а собачка
NDS_002-f-z.eaf,она быстро бегала
NDS_002-f-z.eaf,и к ошейник разорвался
NDS_002-f-z.eaf,и она побежала.
NDS_002-f-z.eaf,А потом пст увидела кошку
NDS_002-f-z.eaf,нашу
NDS_002-f-z.eaf,чужую кошку
NDS_002-f-z.eaf,и за кошкой она бежала
NDS_002-f-z.eaf,бежала-бежала
NDS_002-f-z.eaf,а кошка
NDS_002-f-z.eaf,она обиделась
NDS_002-f-z.eaf,и спряталась от нашей собачки
NDS_002-f-z.eaf,потом мы с папой искали эту собачку
NDS_002-f-z.eaf,потом нашли эту собачку.
NDS_002-f-z.eaf,Всё.
NDS_003-f-z.eaf,Мои птички летали вокруг
NDS_003-f-z.eaf,и вот смотрели
NDS_003-f-z.eaf,они были такие си се красивые-красивые
NDS_003-f-z.eaf,и были светло- ээ синенькие.
NDS_003-f-z.eaf,И они летали
NDS_003-f-z.eaf,и сели прямо на ээ на веточку
NDS_003-f-z.eaf,одна птичка
NDS_003-f-z.eaf,она х захотела сесть на мь на меня
NDS_003-f-z.eaf,и она села.
NDS_003-f-z.eaf,А потом эти птички улетели
NDS_003-f-z.eaf,а одна не хотела улетать
NDS_003-f-z.eaf,а она осталась со мной
NDS_003-f-z.eaf,и залетела ко мне.
NDS_003-f-z.eaf,Я выпустила
NDS_003-f-z.eaf,а она опять ко мне полетела.
NDS_003-f-z.eaf,И она была такая красивая и маленькая.
NDS_003-f-z.eaf,Это всё уже
NDS_003-f-z.eaf,сон закончился.
NDS_004-m-z.eaf,Я один раз катался на лошади
NDS_004-m-z.eaf,потом я
NDS_004-m-z.eaf,потом она меня
NDS_004-m-z.eaf,ээ потом я её остановил.
NDS_004-m-z.eaf,И я с неё слез
NDS_004-m-z.eaf,и пошёл внутрь.
NDS_005-m-z.eaf,Мы с папой сидим на диване
NDS_005-m-z.eaf,и у говорим.
NDS_005-m-z.eaf,А
NDS_005-m-z.eaf,А мама там на кухне моет посуду.
NDS_005-m-z.eaf,И папа встал с дивана
NDS_005-m-z.eaf,и тоже пошёл мыть посуду.
NDS_006-m-z.eaf,Мы с папой ехали по ээ по городу
NDS_006-m-z.eaf,потом мы вышли отдохнуть
NDS_006-m-z.eaf,и вдруг приш
NDS_006-m-z.eaf,и я пришёл к машине
NDS_006-m-z.eaf,а а там машины не было
NDS_006-m-z.eaf,и я пошёл дальше искать машину.
NDS_006-m-z.eaf,Вдруг я увидел милиционера
NDS_006-m-z.eaf,и спросил у него:
