ID,Text
NDS_002-f-z.eaf,Сон называется “Про собачку”.
NDS_002-f-z.eaf,Собачка пошла вот гулять.
NDS_002-f-z.eaf,А я вот дома спала.
NDS_002-f-z.eaf,Я гуляла-гуляла
NDS_002-f-z.eaf,а собачки собачка у нас была с ошейником
NDS_002-f-z.eaf,а потом
NDS_002-f-z.eaf,Он с ошейник был старый
NDS_002-f-z.eaf,а собачка
NDS_002-f-z.eaf,она быстро бегала
NDS_002-f-z.eaf,и к ошейник разорвался
NDS_002-f-z.eaf,и она побежала.
NDS_002-f-z.eaf,А потом пст увидела кошку
NDS_002-f-z.eaf,нашу
NDS_002-f-z.eaf,чужую кошку
NDS_002-f-z.eaf,и за кошкой она бежала
NDS_002-f-z.eaf,бежала-бежала
NDS_002-f-z.eaf,а кошка
NDS_002-f-z.eaf,она обиделась
NDS_002-f-z.eaf,и спряталась от нашей собачки
NDS_002-f-z.eaf,потом мы с папой искали эту собачку
NDS_002-f-z.eaf,потом нашли эту собачку.
NDS_002-f-z.eaf,Всё.
NDS_006-m-z.eaf,Мы с папой ехали по ээ по городу
NDS_006-m-z.eaf,потом мы вышли отдохнуть
NDS_006-m-z.eaf,и вдруг приш
NDS_006-m-z.eaf,и я пришёл к машине
NDS_006-m-z.eaf,а а там машины не было
NDS_006-m-z.eaf,и я пошёл дальше искать машину.
NDS_006-m-z.eaf,Вдруг я увидел милиционера
NDS_006-m-z.eaf,и спросил у него:
NDS_006-m-z.eaf,как добраться до дому
NDS_006-m-z.eaf,и он ме
NDS_006-m-z.eaf,и он позвонил домой
NDS_006-m-z.eaf,и и они
NDS_006-m-z.eaf,и за мной приехали
NDS_006-m-z.eaf,и отвезли домой.
NDS_007-m-z.eaf,И я
NDS_007-m-z.eaf,ээ И я шёл один по дороге.
NDS_007-m-z.eaf,Я шёл вперёд вперёд
NDS_007-m-z.eaf,и и вдруг вижу
NDS_007-m-z.eaf,что там чего-то сверкает.
NDS_007-m-z.eaf,И я уж как он
NDS_007-m-z.eaf,И я бы враз подошёл к нему
NDS_007-m-z.eaf,ну к этому дереву
NDS_007-m-z.eaf,у которого сверкало чего-то
NDS_007-m-z.eaf,я обошёл его вокруг
NDS_007-m-z.eaf,но там ничего не было
NDS_007-m-z.eaf,там была большая дыра
NDS_007-m-z.eaf,а я туда заглянул
NDS_007-m-z.eaf,а там тоже никого не было
NDS_007-m-z.eaf,пошёл к другому дереву
NDS_007-m-z.eaf,а вот там не было дыры.
NDS_007-m-z.eaf,И я всё думал:
