ID,Text
NDS_001-f-z.eaf,Пото 
NDS_001-f-z.eaf,А потом  про зайчика сон.
NDS_001-f-z.eaf, А зайчик вот
NDS_001-f-z.eaf, он был в лесу.
NDS_001-f-z.eaf, А я была у речки.
NDS_001-f-z.eaf,   А потом  ког   вот я пошла
NDS_001-f-z.eaf, к  домой
NDS_001-f-z.eaf, а зайчик за мной
NDS_001-f-z.eaf,бежал-бежал.
NDS_001-f-z.eaf, А потом  он прибежал
NDS_001-f-z.eaf, ко мне опять
NDS_001-f-z.eaf, когда я ушла уже
NDS_001-f-z.eaf,   я вышла
NDS_001-f-z.eaf, к себе
NDS_001-f-z.eaf,во двор.
NDS_001-f-z.eaf, И онь 
NDS_001-f-z.eaf,   А зайчик как-то  сюда прискакал
NDS_001-f-z.eaf, а потом он  не знал
NDS_001-f-z.eaf,где я.
NDS_001-f-z.eaf, А я была  у себя дома.
NDS_001-f-z.eaf, А потом этот зайчик прискакал ко мне домой.
NDS_001-f-z.eaf,   Он скакал-скакал
NDS_001-f-z.eaf,и прискакал.
NDS_001-f-z.eaf, А потом он ск   этот зайчик  встретил й-ёжика.
NDS_001-f-z.eaf, У меня!
NDS_001-f-z.eaf, Который был  у меня дома
NDS_001-f-z.eaf, и они были 
NDS_001-f-z.eaf,     этот зайчик
NDS_001-f-z.eaf, и ёжик
NDS_001-f-z.eaf, у меня
NDS_001-f-z.eaf, и они прям бегали  тут прям по моему полу.
NDS_001-f-z.eaf, И по коврику
NDS_001-f-z.eaf, а я им сделала  пала   к   по   постельку
NDS_001-f-z.eaf, и они спали там.
NDS_001-f-z.eaf, На коврике.
NDS_001-f-z.eaf, А потом  как-то неожиданно зайчик захотел морковку кушать.
NDS_001-f-z.eaf, А морковка  стояла   у меня там  лежала в тарелочке.
NDS_001-f-z.eaf, Он взял эту морковку и скушал.
NDS_001-f-z.eaf, С капусткой.
NDS_001-f-z.eaf, С капустой тоже
NDS_001-f-z.eaf,капустку  съел
NDS_001-f-z.eaf, а я потом встала
NDS_001-f-z.eaf, и увидела:
NDS_001-f-z.eaf,а где морковь?
NDS_001-f-z.eaf,а где капуста?
NDS_001-f-z.eaf, Всё.
NDS_002-f-z.eaf,Сон    называется  “Про собачку”.
NDS_002-f-z.eaf, Собачка  пошла вот  гулять.
NDS_002-f-z.eaf, А я вот  дома спала.
NDS_002-f-z.eaf, Я гуляла-гуляла
NDS_002-f-z.eaf, а собачки   собачка у нас была с ошейником
NDS_002-f-z.eaf, а потом 
NDS_002-f-z.eaf, Он с  ошейник был  старый
NDS_002-f-z.eaf, а собачка
NDS_002-f-z.eaf,она быстро бегала
NDS_002-f-z.eaf, и к  ошейник разорвался
NDS_002-f-z.eaf,и она  побежала.
