,ID,Text
0,NDS_001-f-z,
1,NDS_002-f-z,слуга прошла подальше от прошла галлия а этот потомство и яку я подачки собачку сожжения стэн сражений стану осознать что она быстро робея и ошейники зараз я падеже танки увидев кошку нашо чужих кошку за окошко одна бежал бежал бежала прошка нам обиделась стреляться с собачкой тонус протоки скорее собачку там на сердце
2,NDS_003-f-z,
3,NDS_004-m-z,
4,NDS_005-m-z,
5,NDS_006-m-z,правда не пойму сказал ну и ну ты не разрешал прошу я сам не паша угасшая афине но все они рисунки где она ну да ну сказал он ты своей судьбы
6,NDS_007-m-z,он все куда ноги спеша путы и ветров не то там все это я подошёл к нему у каждого дерева концепция каутерс сэм автономный округ толкуем там была большая гора меня туда но там никого не было в комнате там не было я все помню по звуку сетка фальстаф того места где он следовательно клиент стыда за него альтамонта фонтанка заняты старенькая макса своему соседу фыркнул
7,NDS_008-m-z,о господи тел первая не тому у кого не было всех сиротская зима тонко наскребешь на кресло знала все я то она носит я вас трясся бои на носу мамушки свет славушка за ослабло а заодно и ая ое сидел на диване и думал говоря мансли она вся была при нем бабушка теперь снова искал знала со славой непри
8,NDS_009-f-z,
9,NDS_010-m-z,
10,NDS_011-m-z,твоя о по лавочкам нашо просто я катона колодца какаято мышьяком шага лекарств мягко с снять  она сандоза по ноге там же я стало неожиданно другая камень на шею сэр статья не пожалеет об этом другая кажется нашёл сто смоет  сминает   и потом сезон кончился с другой слева повторяю
11,NDS_012-m-z,
12,NDS_013-m-z,
13,NDS_014-m-z,
14,NDS_015-m-z,
15,NDS_016-m-z,
16,NDS_017-f-z,
17,NDS_018-m-z,
18,NDS_019-m-z,то перхотью скапен какая разница что это сорвало взрывом разговаривала потом  срамота птиц которые были  так школы идиота грудей
19,NDS_020-m-z,
20,NDS_021-m-z,еденный машине мы въехали на полянку на берёзового угля заехал в какоето довольно старинный город открыли ворота заходим там стоит рассмеялся один нежели подошёл ко мне я ему было не так помни говорит готланд потом сказал два слова на русском девушка не помню какие а потом и уехали
21,NDS_022-m-z,
22,NDS_023-m-z,скалы я ехала подорвёт от дождя яночка коллатеральная организации аромата такое большое здание там ногу сети и большие города были круглое та когото прорезались
23,NDS_024-f-z,так кстати стекле кипарисами у меня сказано там жёлтая ты и налей налей странно то она мне помните да стеклянный я думаю на меня показывает
24,NDS_025-f-z,подружки планировки и треску поехали ко мне на память глумов на стол тонок ловчит тройняшки пуллинг но к на речке в этом доме алеку или это ты кареты а то помоему  стали остались на том томаса понял слушай у нас было коротким и качели площадках карл словно луна были ныне слышал рыскали листовки твою сестру кого про половой тряпки со жана твоя спец тому какора шинели сам репортажами с полными кумушки стэнли крылышки и и наклон  они понимали смуты я слышал
25,NDS_026-m-z,творческим гуляем с нами тренировку но в этом относясь ко проходит много ей казалось что ей надо кудато идти она сложнейших фома куда куда тридцать пять на улице было много людей с тех пор как бы по улицам ходили израиль и тётенька уже ушла  своеобразному все бежали она ается она дышала ударилась обо чтото во чтото упало и вновь кулак подмешал испугался 
26,NDS_027-f-z,комментарии молодой разуму строго по плану плутарху препятствия не помню мы шишки вверху девушка глупышка могут ли тут коим подружкам углекопы приехал
27,NDS_028-m-z,
28,NDS_029-m-z,так я уверять нас смотрел на улицу и носился а я нет существенно снизить цену музыкальности домашнее задание не было и  не захотел символы табуляции  надо излияний от векселей следил за временем тут я совершил нормально раздался звонок я поднял трубку мама говорила студентки десять гдето осмысленное выражение увидела что ября я отбросов и делать уроки тут раздался звонок там где сидели традицией я недоделанным   удивился
29,NDS_030-f-z,
30,NDS_031-f-z,
31,NDS_032-m-z,
32,NDS_033-m-z,по и я нашо но его с чем моих братьев  иглы нисколько
33,NDS_034-m-z,
34,NDS_035-m-z,отсутствуют что по магазинам и мучить по его лицу ещ и она мунлик постой
